titles,category
 속보  대통령실  어떤 선거 결과든 엄중하게 받아들일 것 ,Politics
한동훈  인사정보관리단  자료 수집만 하고 판단 안 해 ,Politics
홍준표  역대급 참패  민심이반 이렇게 심각한 줄 미처 몰라 ,Politics
미국 항공모함 레이건함 부산 입항 확장억제 의지 과시,Politics
정부 여당      군사합의  효력정지 검토      북한 도발 명분 우려        국감 ,Politics
보훈부  정율성 기념사업 중단하라  광주시  예정대로 추진  종합 ,Politics
검찰    쪼개기 기소 에 민주당  공소권 남용 범죄 ,Politics
합참의장     하마스와는 다른 무력  도발시 끝까지 응징 ,Politics
정부  탈북민 강제 북송설  사실 확인 중 상황 예의주시 ,Politics
감사원  국세청  구체적 근거 없이 오승환 세무조사 ,Politics
고객 서명 재탕해 증권계좌     건 개설한 대구은행,Economic
 단독  정부도    건 통계자료 미리 받았다 기재부 대통령실 순,Economic
대출 옥죄기에도  월 주담대  조원 증가  가계대출 증가폭   월 더 커질 듯 ,Economic
EU 탄소국경조정제도 시범실시 중소기업      잘 몰라 ,Economic
삼성전자  인공지능 컴퓨터공학 석학 초청  AI 포럼  내달 개최,Economic
삼성 현대차  CF연합  동참  세계에 RE    대안 알린다,Economic
명령휴가 내랬더니 연차기간에 명령 낸 은행,Economic
케이뱅크   오늘의 쿠폰  서비스 업그레이드 발급량 범위 ,Economic
포스코인터 GS칼텍스  인니 팜유 정제회사 공동투자   수도 인근,Economic
물가 금리 환율  리스크   하나금융연  내년 성장률      ,Economic
 푸바오  쌍둥이 동생 첫 공개 이름은  루이바오 후이바오,Social
 신당역 스토킹 살인  전주환 무기징역 확정,Social
검찰  이재명  백현동 특혜 사건 만 먼저 기소,Social
환자가 약 안 먹었는데     만원 챙겨 정부  건보료 챙긴 요양기관  곳 명단 공개,Social
 노조 활동 부당 개입  김장겸 전 MBC 사장 집행유예 확정,Social
위니아 법정관리 피해 최소화 대책 마련 촉구 광주시의회 성명,Social
모르는 여성 따라가 성폭행 시도한   대 남성 기소,Social
   억 클럽  박영수  첫 재판서 혐의 전면부인  청탁받은 적 없다 ,Social
주차시비로 일본도 휘둘러 이웃 살해한   대 법정서  참회 눈물 ,Social
저출산 충격 서울 공립유치원 교사 선발    명   명  명 ,Social
음악회에 진심인 회장님  별세 전  년치 공연계획 미리 세웠다,Culture
 완연한 가을  당분간 큰 일교차 주말 전국 비 날씨 ,Culture
천둥 번개에 우박까지   토요일 전국에 비 온다,Culture
        코리아둘레길  걸어보세요   오늘부터  걷기여행주간 ,Culture
이용훈 주교회의 의장 연임    이스라엘 팔레스타인 전쟁 평화적 해결 간절 ,Culture
   운항횟수 늘려라  UAE 요구에 하늘길 빗장 풀리나,Culture
  김남조 시인 영결식 거행    사랑의 시인  영면,Culture
이스라엘 가자지구 지상전 임박 고속도로 경계로 탱크 헬기 집결,World
 바이든의 줄타기 행보  이스라엘 지지와 중동전쟁 회피 사이  이 팔 전쟁 ,World
이란  하마스의 이스라엘 공격 알았나 몰랐나  미국서도  설왕설래 ,World
 언론     코로나 종식  후 공개처형 증가 한류 유입도 경계 ,World
 월스트리트 취업 못할라   하버드생들  이스라엘 규탄  철회,World
  정부  통일교 해산명령 청구할 것 ,World
가자지구 인도주의 위기 고조      민간인 대피 논의 ,World
 두개의 전선  맞닥뜨린 미국  우크라 이스라엘 둘다 지원 가능 ,World
  세 노인도 전쟁터로   이스라엘  예비군   만명 동원 초고속,World
 젤렌스키  우크라전 개시 후 처음 나토 본부 방문 ,World
LG CNS  생성형 AI 플랫폼  DAP GenAI  출시,IT
 PASS 모바일운전면허   금융 공공 의료 분야서 신분증처럼 쓴다,IT
개인정보위원회  개인정보   만 건 유출  과징금 과태료 부과,IT
소행성 베누에 생명체 위한 물 탄소 존재  우리가 찾던 그것 ,IT
AWS MS 등 해외 IT기업  개인정보 국내대리인 운영 미흡,IT
 카카오T트럭커  출시 후 택시처럼  건당 수수료  전환 우려,IT
KT  내년 대기권 닿는  무선 양자 암호통신 기술  만든다,IT
    대     아이폰 선호  다음 휴대폰도 아이폰     ,IT
